iter	RMSE
0	154107.7616
1	151367.4948
2	148618.6936
3	146111.72
4	143614.4195
5	141234.2694
6	138686.9478
7	136147.177
8	133539.6859
9	131362.257
10	129480.6905
11	126959.918
12	124716.5762
13	122274.8635
14	120162.2233
15	118080.5984
16	116505.5504
17	114443.9469
18	112741.885
19	111069.5832
20	109097.7431
21	107516.5826
22	105703.1922
23	103940.8128
24	102038.2718
25	100864.2604
26	99280.05009
27	97456.36343
28	95842.79437
29	94241.43642
30	92737.40167
31	91140.45591
32	89926.24868
33	88530.64063
34	87549.95163
35	86321.79047
36	85451.14091
37	84180.62935
38	82670.03786
39	81573.60249
40	80418.60948
41	79064.80228
42	77911.69716
43	77038.81732
44	75924.01148
45	75007.6625
46	74034.68312
47	72887.49329
48	71962.5381
49	70949.10293
50	70101.10374
51	69207.61387
52	68328.47433
53	67340.27174
54	66484.63062
55	65749.67773
56	64687.21869
57	63555.005
58	62812.88019
59	61769.63348
60	60766.35716
61	60089.83182
62	59380.63802
63	58494.23366
64	57496.79948
65	56722.56948
66	55901.81659
67	55208.95285
68	54555.62146
69	53736.70155
70	53035.29923
71	52346.74821
72	51599.73057
73	51185.58675
74	50363.38115
75	49645.76818
76	48942.71141
77	48321.72971
78	47648.19479
79	46993.43981
80	46478.32418
81	45881.54909
82	45168.58819
83	44552.61113
84	43852.93622
85	43352.45015
86	42824.54242
87	42247.00916
88	41829.46051
89	41174.20843
90	40672.669
91	40141.51236
92	39551.64333
93	39071.53693
94	38656.27402
95	38158.77057
96	37719.44997
97	37277.62644
98	36684.28998
99	36403.02673
100	35909.04086
101	35330.03712
102	35042.55284
103	34557.8641
104	34319.25988
105	33876.09975
106	33336.29178
107	32917.79659
108	32478.27486
109	31975.67556
110	31779.1639
111	31373.7263
112	30906.69595
113	30513.62069
114	30044.43468
115	29582.78788
116	29155.15378
117	28839.85745
118	28419.76435
119	28023.70533
120	27683.10333
121	27323.29067
122	26947.7201
123	26719.53761
124	26492.12784
125	26228.3137
126	25933.16005
127	25695.26678
128	25442.03878
129	25109.68192
130	25002.38911
131	24692.51338
132	24342.26791
133	24173.68489
134	23907.07663
135	23573.31663
136	23292.74865
137	23029.78558
138	22814.47436
139	22576.66515
140	22249.83438
141	21926.38172
142	21667.02909
143	21473.36852
144	21188.19517
145	20939.17717
146	20708.93345
147	20478.9433
148	20241.9595
149	20041.52917
150	19846.64275
151	19670.59261
152	19426.07796
153	19192.29518
154	19084.69087
155	18871.42728
156	18718.99433
157	18542.72641
158	18310.54517
159	18147.99959
160	17956.28716
161	17762.29982
162	17632.84073
163	17467.22487
164	17376.35404
165	17206.78689
166	17029.43961
167	16952.84737
168	16786.19931
169	16667.46199
170	16514.50749
171	16353.65533
172	16199.10903
173	16012.36867
174	15865.76051
175	15711.90442
176	15548.64592
177	15435.98551
178	15272.74966
179	15152.26978
180	15020.0042
181	14857.02497
182	14791.38193
183	14630.83738
184	14474.14509
185	14323.34771
186	14206.75796
187	14077.59902
188	14002.3694
189	13877.20539
190	13787.91204
191	13644.7122
192	13523.17687
193	13389.40391
194	13306.96159
195	13242.87621
196	13118.61836
197	12993.84646
198	12854.95017
199	12770.27151
200	12693.32722
201	12561.43501
202	12441.56
203	12376.9318
204	12289.26924
205	12168.92482
206	12107.00956
207	11977.65191
208	11872.23917
209	11786.04036
210	11683.25269
211	11581.86839
212	11498.80379
213	11445.6593
214	11383.32265
215	11304.42742
216	11257.99577
217	11197.39453
218	11132.21694
219	11038.30077
220	10971.17714
221	10873.47738
222	10758.38922
223	10683.38785
224	10608.11444
225	10508.06492
226	10435.37782
227	10369.26058
228	10322.98607
229	10267.17502
230	10199.86709
231	10130.3759
232	10064.40508
233	10001.13798
234	9959.319376
235	9918.416407
236	9854.12809
237	9790.199538
238	9727.453661
239	9662.757142
240	9571.282353
241	9485.027395
242	9430.978909
243	9373.157091
244	9283.814968
245	9225.154899
246	9167.094968
247	9115.621321
248	9080.709144
249	9024.069011
250	8988.606395
251	8932.888267
252	8877.74486
253	8788.850601
254	8753.886024
255	8712.822035
256	8667.82438
257	8616.333501
258	8565.388994
259	8532.823077
260	8441.396621
261	8401.52251
262	8362.094883
263	8313.130121
264	8261.424414
265	8224.080647
266	8187.139185
267	8139.844693
268	8109.31603
269	8022.649284
270	7987.032732
271	7951.802465
272	7914.466449
273	7830.454463
274	7774.060549
275	7740.038245
276	7684.838051
277	7651.459526
278	7594.345098
279	7561.592544
280	7529.199074
281	7484.649793
282	7452.911967
283	7421.523951
284	7390.482465
285	7359.784262
286	7308.695391
287	7278.587782
288	7228.611768
289	7199.08656
290	7169.890562
291	7141.02067
292	7107.704442
293	7045.560916
294	7017.482999
295	6989.71981
296	6962.268403
297	6935.125857
298	6908.289283
299	6881.755814
300	6821.969986
301	6795.902714
302	6770.130884
303	6744.651725
304	6719.462488
305	6694.560448
306	6641.14077
307	6616.670296
308	6592.480013
309	6568.567267
310	6516.904061
311	6493.408663
312	6465.635761
313	6438.301089
314	6411.397144
315	6384.916586
316	6322.330225
317	6296.43303
318	6235.159194
319	6209.833554
320	6184.904396
321	6125.079945
322	6057.103558
323	6032.866317
324	5966.518146
325	5945.620573
326	5924.964892
327	5860.240343
328	5839.907597
329	5795.663521
330	5775.683759
331	5755.936499
332	5733.520172
333	5675.409554
334	5614.339016
335	5595.188841
336	5576.262175
337	5520.712153
338	5502.100582
339	5461.236371
340	5440.304205
341	5419.702947
342	5362.663557
343	5342.549576
344	5324.907101
345	5269.415362
346	5252.095956
347	5203.741028
348	5184.573977
349	5134.1238
350	5117.367828
351	5068.04853
352	5051.577059
353	5003.364593
354	4987.173575
355	4942.395456
356	4926.500664
357	4876.826245
358	4841.824212
359	4826.313809
360	4809.021625
361	4792.004517
362	4744.205808
363	4727.597748
364	4685.880019
365	4669.65968
366	4623.728739
367	4607.898174
368	4567.728108
369	4552.268119
370	4512.96918
371	4498.971216
372	4459.534964
373	4445.813288
374	4407.877787
375	4394.414935
376	4356.410096
377	4341.960709
378	4304.786729
379	4290.639234
380	4256.571425
381	4242.711965
382	4206.91704
383	4174.012234
384	4163.353559
385	4128.825635
386	4118.381325
387	4086.685766
388	4076.442476
389	4037.497397
390	4027.389821
391	3996.746779
392	3986.861493
393	3961.207943
394	3936.443479
395	3921.850526
396	3897.629947
397	3883.364971
398	3846.678457
399	3832.675218
400	3818.899482
401	3794.813811
402	3781.318142
403	3753.552146
404	3730.143475
405	3716.989103
406	3682.426305
407	3669.509273
408	3642.864224
409	3630.222882
410	3607.939161
411	3595.553291
412	3569.698792
413	3548.038998
414	3535.96658
415	3513.915062
416	3502.082207
417	3477.195706
418	3466.117031
419	3445.569799
420	3434.772052
421	3403.721585
422	3393.231134
423	3380.667906
424	3356.913175
425	3338.376058
426	3328.260079
427	3310.100532
428	3298.111291
429	3269.259183
430	3257.573254
431	3240.184582
432	3217.79068
433	3208.309294
434	3191.411568
435	3180.262417
436	3162.220019
437	3151.327472
438	3135.144273
439	3110.770337
440	3100.216003
441	3084.526257
442	3074.202891
443	3053.581942
444	3044.873994
445	3034.848101
446	3019.858666
447	2996.735921
448	2987.023953
449	2971.451693
450	2961.943155
451	2942.659319
452	2934.444786
453	2925.213035
454	2911.302167
455	2889.340213
456	2873.233635
457	2865.375854
458	2856.612867
459	2843.418067
460	2828.091232
461	2820.547272
462	2812.150615
463	2791.260962
464	2783.929195
465	2771.468418
466	2757.101099
467	2747.367714
468	2734.396477
469	2725.006908
470	2704.948955
471	2691.252624
472	2682.199357
473	2669.722757
474	2653.331429
475	2644.596689
476	2634.812239
477	2615.539997
478	2607.110766
479	2595.137071
480	2576.304268
481	2568.171036
482	2556.494905
483	2544.978639
484	2526.652706
485	2518.858411
486	2507.629122
487	2489.72153
488	2482.201379
489	2471.252149
490	2453.753531
491	2446.498248
492	2435.822351
493	2428.82511
494	2411.723966
495	2400.965
496	2394.193958
497	2383.704218
498	2373.450247
499	2367.471235
500	2361.581766
501	2351.668641
502	2345.337332
503	2335.674864
504	2330.061257
505	2320.670118
506	2315.193124
507	2306.066445
508	2300.150921
509	2291.257369
510	2286.039292
511	2278.541784
512	2262.690489
513	2257.5945
514	2252.575251
515	2237.078773
516	2232.164311
517	2227.323796
518	2221.992197
519	2206.748252
520	2202.077066
521	2197.476052
522	2190.345617
523	2175.487426
524	2170.449972
525	2166.02134
526	2151.459968
527	2147.124445
528	2135.315165
529	2123.365441
530	2111.941876
531	2100.718356
532	2093.302675
533	2081.965035
534	2077.389589
535	2072.897942
536	2065.783687
537	2054.740399
538	2050.382749
539	2044.059047
540	2033.31126
541	2023.01615
542	2016.896432
543	2006.573053
544	1996.673882
545	1990.752831
546	1979.150455
547	1973.290868
548	1969.05862
549	1964.898327
550	1953.641506
551	1944.081368
552	1934.689344
553	1929.030258
554	1925.030146
555	1914.070836
556	1908.48032
557	1904.586834
558	1900.759351
559	1891.715011
560	1877.415071
561	1868.591571
562	1863.226808
563	1849.444642
564	1838.84304
565	1833.549919
566	1831.226949
567	1826.023221
568	1812.875187
569	1802.72179
570	1800.452245
571	1798.240367
572	1793.129956
573	1784.636073
574	1781.169625
575	1772.83346
576	1762.272112
577	1749.81521
578	1740.334804
579	1732.21347
580	1730.154611
581	1726.895343
582	1723.692438
583	1715.771546
584	1706.032074
585	1698.262126
586	1693.097621
587	1685.486238
588	1676.084723
589	1669.825362
590	1662.433221
591	1653.331088
592	1647.263675
593	1640.279331
594	1633.194962
595	1624.413996
596	1618.506452
597	1611.639558
598	1603.124939
599	1597.394162
600	1590.738347
601	1582.481141
602	1576.922033
603	1571.441791
604	1565.068724
605	1557.070044
606	1551.754108
607	1545.577407
608	1540.411923
609	1532.661901
610	1521.554791
611	1510.778933
612	1500.452839
613	1490.299648
614	1480.856117
615	1471.682163
616	1462.39047
617	1453.687071
618	1444.753651
619	1436.496285
620	1431.085035
621	1425.760288
622	1421.170713
623	1415.303216
624	1406.775662
625	1398.468422
626	1392.821075
627	1384.785018
628	1379.291818
629	1371.756572
630	1366.401455
631	1360.622299
