iter	Passed	Remaining
0	1	1980
1	3	1776
2	5	1716
3	6	1693
4	8	1705
5	10	1672
6	11	1667
7	13	1624
8	14	1623
9	15	1576
10	17	1582
11	18	1542
12	20	1539
13	21	1537
14	23	1532
15	24	1526
16	27	1572
17	28	1556
18	29	1546
19	33	1625
20	34	1608
21	38	1727
22	40	1707
23	42	1710
24	43	1703
25	45	1694
26	47	1714
27	49	1707
28	50	1681
29	51	1674
30	53	1669
31	54	1657
32	56	1644
33	57	1627
34	58	1619
35	59	1606
36	62	1621
37	63	1608
38	64	1598
39	66	1595
40	67	1581
41	68	1569
42	70	1560
43	71	1556
44	73	1552
45	74	1547
46	75	1540
47	77	1538
48	79	1536
49	80	1533
50	82	1531
51	83	1526
52	85	1519
53	86	1510
54	87	1509
55	88	1499
56	90	1497
57	91	1489
58	93	1486
59	94	1485
60	96	1478
61	97	1471
62	98	1470
63	100	1467
64	101	1465
65	103	1463
66	104	1459
67	106	1456
68	107	1452
69	108	1447
70	110	1446
71	112	1444
72	113	1436
73	114	1434
74	116	1433
75	117	1428
76	119	1427
77	120	1421
78	121	1415
79	122	1410
80	123	1404
81	124	1399
82	125	1391
83	127	1386
84	128	1381
85	129	1376
86	130	1371
87	131	1366
88	132	1356
89	133	1351
90	134	1347
91	136	1343
92	137	1339
93	138	1333
94	139	1327
95	140	1322
96	141	1315
97	142	1311
98	143	1307
99	144	1302
100	145	1298
101	147	1294
102	148	1290
103	149	1286
104	150	1281
105	151	1278
106	152	1273
107	153	1269
108	154	1263
109	155	1259
110	156	1254
111	157	1251
112	158	1247
113	160	1243
114	161	1241
115	162	1236
116	163	1234
117	164	1230
118	165	1227
119	166	1223
120	168	1220
121	169	1217
122	170	1214
123	171	1211
124	172	1208
125	173	1206
126	175	1203
127	176	1201
128	177	1198
129	179	1198
130	180	1194
131	181	1196
132	182	1192
133	184	1189
134	185	1185
135	186	1183
136	187	1179
137	189	1181
138	190	1178
139	191	1174
140	192	1171
141	193	1168
142	194	1165
143	195	1161
144	196	1159
145	197	1157
146	199	1158
147	200	1156
148	201	1153
149	202	1148
150	203	1143
151	204	1141
152	205	1138
153	206	1135
154	207	1133
155	209	1131
156	210	1128
157	211	1126
158	212	1124
159	213	1122
160	214	1119
161	215	1116
162	216	1113
163	218	1114
164	219	1112
165	220	1108
166	221	1106
167	224	1110
168	225	1108
169	230	1124
170	231	1122
171	232	1120
172	234	1123
173	237	1128
174	239	1128
175	241	1129
176	242	1127
177	243	1125
178	245	1125
179	246	1124
180	248	1122
181	249	1120
182	250	1116
183	251	1114
184	254	1119
185	255	1117
186	257	1117
187	258	1115
188	259	1112
189	260	1110
190	261	1107
191	262	1105
192	263	1103
193	265	1101
194	266	1099
195	267	1097
196	269	1097
197	270	1095
198	271	1092
199	272	1090
200	273	1088
201	275	1086
202	276	1084
203	277	1082
204	278	1080
205	279	1078
206	281	1076
207	282	1074
208	283	1072
209	284	1070
210	285	1068
211	286	1066
212	288	1064
213	289	1062
214	290	1060
215	291	1057
216	292	1054
217	293	1052
218	294	1050
219	295	1048
220	296	1046
221	298	1044
222	299	1041
223	300	1039
224	301	1037
225	302	1035
226	303	1033
227	305	1033
228	306	1031
229	307	1029
230	308	1028
231	309	1025
232	311	1023
233	312	1021
234	313	1019
235	314	1018
236	316	1018
237	317	1016
238	318	1014
239	319	1012
240	321	1011
241	322	1009
242	323	1007
243	324	1005
244	327	1007
245	328	1005
246	329	1004
247	330	1002
248	331	1000
249	332	998
250	334	996
251	335	995
252	336	993
253	337	991
254	338	989
255	339	987
256	340	985
257	342	984
258	343	982
259	344	981
260	346	979
261	347	979
262	349	979
263	350	978
264	352	976
265	353	974
266	354	972
267	355	971
268	356	969
269	358	969
270	359	967
271	361	967
272	362	965
273	363	964
274	365	962
275	366	960
276	367	959
277	369	958
278	370	957
279	371	955
280	372	953
281	373	952
282	375	950
283	376	948
284	377	946
285	378	945
286	379	943
287	380	941
288	382	941
289	383	939
290	385	938
291	386	936
292	387	934
293	388	933
294	389	931
295	390	929
296	391	927
297	392	925
298	394	924
299	395	922
300	396	921
301	398	920
302	399	919
303	401	918
304	402	916
305	403	915
306	407	920
307	409	920
308	410	918
309	413	920
310	417	924
311	418	923
312	420	922
313	421	920
